公告日期,净利润,净利润_同比增长,净利润_季度环比增长,净资产收益率,利润分配,每股净资产,每股收益,每股经营现金流量,股票代码,股票简称,营业收入,营业收入_同比增长,营业收入_季度环比增长,销售毛利率
2018-02-10T00:00:00,-32479915.07,-640.05097094,-509.0038,-12.85,不分配不转增,1.02807273,-0.14,0.23592363,600301,ST南化,214156287.46,198.50845558,-97.2775,5.54246545
2018-02-10T00:00:00,406975865.8,-48.36007539,270.934,5.6,10派5,2.76484784,0.16,0.05850816,600664,哈药股份,12017531251.13,-14.93149099,-7.8159,25.88201233
2018-02-10T00:00:00,155675610.94,178.04280169,34597.1656,4.25,10派0.15,2.78299403,0.12,0.00600693,600077,宋都股份,2749286861.61,-64.58881559,514.7865,33.20943688
2018-02-10T00:00:00,196605770.5,2.82754335,-49.1553,9.27,10派1,4.1854434,0.3731,0.65395843,000888,峨眉山A,1078986910.95,3.59144386,-34.2352,42.61745986
2018-02-02T00:00:00,68117379.64,-57.27907906,24.5221,4.05,不分配不转增,4.26793387,0.1715,0.00153233,601360,三六零,2184521590.68,-9.62771605,4.4961,29.6192514
2018-02-02T00:00:00,1313890423.23,63.09833477,47.8923,"""-""",,3.96694492,0.6,"""-""",601231,环旭电子,29705684977.64,23.85685875,30.4155,11.03225525
2018-02-01T00:00:00,58823214.15,94.47565836,"""-""",10.48,10派1.5,4.58077511,0.47,0.77794792,870536,快达农化,955380002.22,41.03174052,"""-""",17.4108863
2018-02-01T00:00:00,15772501.58,319.86790664,"""-""",24.22,不分配不转增,1.17199815,0.26,-0.17824142,837719,德龙环境,101537477.68,127.31949542,"""-""",36.74542611
2018-02-01T00:00:00,2858998.66,207.43864207,277.1053,3.78,不分配不转增,0.21185228,0.0079,0.01408209,200613,*ST东海B,27906564.23,28.54905328,44.4911,60.08136473
2018-03-10T00:00:00,140216258.28,26.70600085,-92.6399,5.79,10派2,5.62506246,0.3196,1.28766075,200026,飞亚达B,3345809703.98,11.75554656,-0.6801,40.62266634
2018-03-10T00:00:00,210089060.45,-34.08370071,-1.1757,15.47,10派1.3,5.81525061,0.5493,0.14358594,603303,得邦照明,4031353922.16,24.98308904,-4.5847,14.57914245
